timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,ttl,tcp_flags,attack_type
1742700290.93353,172.27.108.184,104.26.8.222,57857,587,SMTP,339,128,56.0,normal
1742700292.159456,198.51.100.202,172.31.231.95,43066,53,DNS,124,32,,normal
1742700292.200326,192.168.1.43,114.47.202.137,23030,8080,HTTP,1297,128,35.0,normal
1742700293.20953,198.51.100.124,172.16.0.15,51245,0,ICMP,252,64,,normal
1742700295.091318,10.5.69.120,203.0.113.87,11837,20,FTP,866,64,49.0,normal
1742700296.317392,104.17.222.177,10.148.226.185,38202,443,HTTPS,812,64,52.0,normal
1742700301.586567,198.51.100.118,10.40.225.171,52297,22,SSH,540,64,0.0,normal
1742700302.463351,10.75.171.47,203.0.113.113,17185,53,DNS,145,64,,normal
1742700302.801737,172.29.143.105,83.67.205.54,34918,3389,RDP,383,128,,normal
1742700304.657392,10.70.38.239,104.24.54.204,22601,445,SMB,706,64,,normal
1742700305.404884,104.26.76.55,10.94.85.223,59847,80,HTTP,675,64,38.0,normal
1742700305.659166,10.30.31.11,104.22.144.40,34641,587,SMTP,593,128,16.0,normal
1742700306.859734,192.168.1.68,198.51.100.223,51607,53,DNS,217,32,,normal
1742700307.385685,203.0.113.38,10.170.163.12,32886,8443,HTTPS,1488,32,30.0,normal
1742700307.668155,10.114.68.140,104.21.52.138,11171,68,DHCP,121,64,,normal
1742700309.080945,172.25.99.33,104.26.221.8,19090,8443,HTTPS,1148,128,39.0,normal
1742700309.344568,172.20.1.6,60.95.121.241,11171,8443,HTTPS,285,64,26.0,normal
1742700310.13132,10.114.193.26,104.22.12.86,52039,8443,HTTPS,394,128,11.0,normal
1742700310.142884,192.168.1.244,217.186.191.73,46648,22,SSH,727,32,30.0,normal
1742700310.163659,192.168.1.162,198.51.100.199,59481,22,SSH,387,32,29.0,normal
1742700314.119305,10.0.0.112,198.51.100.64,25881,8443,HTTPS,1065,64,50.0,normal
1742700314.215138,111.168.208.237,192.168.1.200,58371,53,DNS,168,128,,normal
1742700316.262426,172.20.248.138,104.19.191.15,10382,443,TCP,726,64,20.0,normal
1742700316.40814,192.168.1.93,69.165.211.27,61135,443,HTTPS,934,32,57.0,normal
1742700316.845155,172.25.82.50,198.51.100.213,59800,23,TELNET,793,128,,normal
1742700317.545714,104.23.254.251,10.117.112.95,19989,22,SSH,787,64,44.0,normal
1742700317.856778,10.0.0.154,104.24.203.169,20905,443,HTTPS,282,32,38.0,normal
1742700318.349759,192.168.1.123,119.244.122.56,17888,443,HTTPS,792,32,9.0,normal
1742700319.759523,10.248.175.55,203.0.113.48,58944,21,TCP,651,128,11.0,normal
1742700320.61855,172.24.1.179,197.190.73.147,57934,0,ICMP,159,32,,normal
1742700323.557992,10.143.243.75,104.27.255.123,63356,80,HTTP,246,64,57.0,normal
1742700324.13818,59.54.15.170,172.16.0.157,27386,80,TCP,254,64,27.0,normal
1742700326.311983,104.20.185.98,172.24.144.240,20846,8080,HTTP,1441,32,19.0,normal
1742700326.63863,172.22.26.10,198.51.100.241,33164,22,SSH,280,64,18.0,normal
1742700327.291359,104.20.13.121,172.28.100.214,22405,80,HTTP,1056,64,44.0,normal
1742700327.892091,192.168.1.59,203.0.113.46,44263,22,SSH,141,32,28.0,normal
1742700329.616847,198.51.100.54,192.168.1.176,13535,445,SMB,1009,128,,normal
1742700330.730751,203.0.113.236,192.168.1.176,42944,8080,HTTP,1257,32,36.0,normal
1742700331.090275,104.21.28.200,192.168.1.32,59495,443,TLS,709,32,31.0,normal
1742700333.736058,172.24.204.105,203.0.113.80,17684,25,TCP,333,64,23.0,normal
1742700333.912235,113.35.132.55,172.16.0.18,28446,53,DNS,231,32,,normal
1742700334.937345,203.0.113.40,192.168.1.137,43416,123,UDP,221,128,,normal
1742700337.282227,172.24.240.181,132.223.223.170,34889,53,DNS,234,128,,normal
1742700340.704819,172.31.95.89,130.174.177.123,27062,25,TCP,591,64,62.0,normal
1742700343.701748,172.28.165.198,203.0.113.206,14025,22,SSH,415,64,45.0,normal
1742700345.205767,10.153.240.85,145.111.249.211,47246,443,HTTPS,847,64,24.0,normal
1742700345.698905,10.7.107.180,104.16.63.251,53343,443,HTTPS,1245,128,52.0,normal
1742700346.352712,104.27.166.226,10.113.0.233,37626,443,HTTPS,1493,32,12.0,normal
1742700347.049129,10.0.0.114,15.160.156.104,25734,8080,HTTP,328,64,35.0,normal
1742700347.179427,10.104.24.97,198.51.100.208,44034,445,SMB,942,32,,normal
1742700347.810398,104.31.189.249,172.28.117.17,26241,80,TCP,505,128,41.0,normal
1742700352.859253,192.168.1.236,81.90.50.130,11982,22,SSH,347,64,56.0,normal
1742700354.018074,192.168.1.216,203.0.113.124,25035,53,DNS,110,32,,normal
1742700356.839183,10.84.238.138,198.51.100.134,36778,587,SMTP,408,64,47.0,normal
1742700357.178402,10.166.99.229,181.57.190.253,41737,53,DNS,214,128,,normal
1742700358.29293,203.0.113.59,172.27.132.206,35464,25,SMTP,265,32,44.0,normal
1742700360.442764,172.24.222.21,104.30.136.248,56115,21,TCP,678,64,26.0,normal
1742700361.267893,172.22.245.107,198.51.100.115,12403,8443,HTTPS,481,64,4.0,normal
1742700362.466592,198.51.100.182,192.168.1.219,22202,8443,HTTPS,723,128,49.0,normal
1742700362.528299,104.18.54.174,192.168.1.113,17116,443,HTTPS,461,128,32.0,normal
1742700363.362691,192.168.1.11,203.0.113.252,24614,80,HTTP,860,32,30.0,normal
1742700365.366635,10.69.225.114,104.23.5.91,38850,53,DNS,187,32,,normal
1742700365.962534,10.0.0.244,62.248.81.93,27832,53,DNS,262,128,,normal
1742700367.20912,172.16.0.31,203.0.113.111,27602,80,TCP,424,128,48.0,normal
1742700367.239348,10.26.217.229,104.27.189.223,36144,123,NTP,108,128,,normal
1742700368.940293,192.168.1.108,144.200.234.139,57577,443,HTTPS,802,32,54.0,normal
1742700373.424528,10.209.57.40,198.51.100.9,43587,8080,HTTP,505,32,40.0,normal
1742700376.264629,203.0.113.103,172.16.0.250,21293,80,HTTP,1159,64,50.0,normal
1742700376.84235,10.149.188.193,104.24.66.2,31420,8443,HTTPS,668,128,29.0,normal
1742700381.088149,192.168.1.150,200.238.244.191,60363,443,TLS,370,128,47.0,normal
1742700384.257638,192.168.1.238,203.0.113.223,26251,443,TCP,299,32,32.0,normal
1742700385.813289,198.51.100.208,192.168.1.199,26576,67,DHCP,281,64,,normal
1742700387.316187,10.0.0.127,198.51.100.165,11278,123,NTP,222,64,,normal
1742700391.19543,172.18.253.207,203.0.113.2,51638,123,NTP,299,32,,normal
1742700394.535278,172.22.103.224,95.109.237.240,18890,80,TCP,579,32,42.0,normal
1742700394.920283,10.0.0.175,203.0.113.26,24076,53,DNS,117,32,,normal
1742700397.137724,172.16.0.211,104.20.21.7,10152,80,HTTP,757,128,36.0,normal
1742700397.605124,172.21.189.178,198.51.100.75,19434,8080,HTTP,646,64,56.0,normal
1742700398.126091,192.168.1.212,203.0.113.22,23139,443,TLS,153,128,11.0,normal
1742700398.942658,156.194.167.41,10.138.32.139,50122,0,ICMP,273,64,,normal
1742700400.174004,10.207.171.210,27.249.249.184,34565,80,TCP,626,32,41.0,normal
1742700402.078872,172.16.0.40,166.75.239.240,58388,25,TCP,618,32,53.0,normal
1742700402.668503,192.168.1.30,104.22.171.175,56051,443,HTTPS,1206,128,42.0,normal
1742700403.376454,10.0.0.109,145.227.73.74,49114,443,HTTPS,528,32,39.0,normal
1742700404.661537,203.0.113.33,172.25.235.24,41453,8443,HTTPS,569,64,56.0,normal
1742700404.691438,10.0.0.79,198.51.100.2,18555,25,TCP,441,32,11.0,normal
1742700405.528821,104.28.122.219,10.0.0.98,24750,443,HTTPS,638,64,21.0,normal
1742700406.793321,104.25.112.211,192.168.1.171,44800,8080,HTTP,552,128,26.0,normal
1742700407.021305,192.168.1.225,198.51.100.230,58698,443,HTTPS,950,64,22.0,normal
1742700407.611171,211.160.50.249,192.168.1.204,62953,443,TCP,203,32,2.0,normal
1742700408.601679,192.168.1.188,104.27.137.85,14610,22,SSH,418,128,4.0,normal
1742700408.915783,172.20.148.255,203.0.113.205,33196,443,TCP,485,64,30.0,normal
1742700409.034213,192.168.1.25,104.21.229.69,18704,443,TLS,685,64,37.0,normal
1742700410.206837,172.16.0.177,104.19.19.107,56386,443,HTTPS,1081,64,17.0,normal
1742700410.538887,10.212.144.244,198.51.100.242,39087,20,FTP,447,32,0.0,normal
1742700412.697072,10.61.210.118,203.0.113.32,42223,445,SMB,595,128,,normal
1742700413.692615,192.168.1.176,203.0.113.183,26264,8443,HTTPS,200,32,0.0,normal
1742700414.839699,192.168.1.60,56.253.89.112,31319,53,DNS,263,128,,normal
1742700414.85953,172.27.75.163,203.0.113.136,55706,443,TLS,615,128,37.0,normal
1742700417.563951,203.0.113.139,192.168.1.56,37352,123,UDP,452,32,,normal
1742700417.961755,172.21.139.68,9.214.76.115,60855,8080,HTTP,285,64,10.0,normal
1742700418.878132,192.168.1.167,104.21.16.170,10939,162,SNMP,184,128,,normal
1742700420.258138,104.19.185.147,172.18.37.202,61797,20,FTP,249,32,42.0,normal
1742700420.447306,192.168.1.75,87.237.176.2,18592,8443,HTTPS,1119,64,32.0,normal
1742700422.525595,192.168.1.204,137.249.136.201,46398,22,TCP,410,128,45.0,normal
1742700422.96678,104.21.199.68,192.168.1.8,50711,80,HTTP,549,64,9.0,normal
1742700423.946151,198.51.100.204,172.28.119.52,21861,443,HTTPS,643,32,35.0,normal
1742700425.332653,192.168.1.3,104.18.100.253,60433,80,HTTP,1411,64,47.0,normal
1742700425.868409,203.0.113.31,172.30.39.1,27290,443,TLS,796,32,40.0,normal
1742700426.136439,192.168.1.19,198.51.100.112,32556,53,DNS,161,32,,normal
1742700426.628542,198.51.100.129,10.162.4.34,37970,3389,RDP,346,32,,normal
1742700429.90839,172.16.0.70,201.90.229.155,29963,443,TCP,576,64,6.0,normal
1742700430.07727,104.21.65.69,192.168.1.173,14339,0,ICMP,100,64,,normal
1742700432.006789,192.168.1.13,63.105.104.24,12325,443,HTTPS,498,64,57.0,normal
1742700433.375564,192.168.1.85,203.0.113.164,63456,8443,HTTPS,271,128,46.0,normal
1742700434.643739,104.22.161.4,10.0.0.221,38648,443,HTTPS,1169,64,52.0,normal
1742700438.075333,192.168.1.105,33.26.173.213,25514,22,SSH,395,128,0.0,normal
1742700442.806684,192.168.1.34,198.51.100.184,21754,162,SNMP,275,64,,normal
1742700442.899241,192.168.1.167,188.7.48.101,61830,443,HTTPS,1094,32,59.0,normal
1742700445.257081,192.168.1.79,203.0.113.252,12557,8443,HTTPS,1411,128,47.0,normal
1742700445.628225,172.27.0.6,104.26.63.173,56940,22,SSH,426,128,28.0,normal
1742700446.555709,10.184.226.179,210.216.222.181,35644,3389,RDP,432,64,,normal
1742700447.341558,104.31.118.237,192.168.1.96,60762,443,TCP,443,32,7.0,normal
1742700447.903796,172.16.0.78,166.206.232.102,47777,0,ICMP,185,32,,normal
1742700451.684649,192.168.1.190,154.99.159.79,25967,8443,HTTPS,620,128,28.0,normal
1742700451.876656,172.24.82.208,198.51.100.138,42195,80,HTTP,959,64,5.0,normal
1742700452.663962,172.30.168.37,203.0.113.68,20782,0,ICMP,234,64,,normal
1742700454.353343,10.177.167.180,62.133.0.176,12721,22,SSH,177,64,63.0,normal
1742700456.605007,192.168.1.80,28.241.73.39,24697,443,HTTPS,1425,128,13.0,normal
1742700457.226873,192.168.1.217,104.21.70.132,26137,443,HTTPS,828,32,35.0,normal
1742700458.372008,198.51.100.208,192.168.1.114,51289,80,HTTP,1296,32,12.0,normal
1742700461.329873,104.31.164.216,172.27.109.53,64633,53,DNS,219,32,,normal
1742700461.80775,10.0.0.205,198.51.100.29,49002,22,SSH,411,32,54.0,normal
1742700462.834481,104.23.139.154,192.168.1.173,44751,53,DNS,252,32,,normal
1742700464.243615,10.0.0.3,104.23.75.175,59475,53,DNS,298,64,,normal
1742700464.856346,192.168.1.170,48.177.23.20,23784,80,HTTP,1209,128,19.0,normal
1742700465.195534,104.25.79.198,10.0.0.164,27368,123,UDP,356,128,,normal
1742700465.277903,104.28.232.250,172.22.198.115,56368,445,SMB,670,64,,normal
1742700466.037309,10.115.251.74,203.0.113.122,48325,21,FTP,248,128,42.0,normal
1742700468.734423,172.23.85.101,198.51.100.133,20588,161,UDP,167,32,,normal
1742700468.86136,10.121.17.243,203.0.113.33,22713,53,DNS,266,32,,normal
1742700469.172879,172.16.0.35,208.149.202.174,46210,53,DNS,227,32,,normal
1742700469.707146,192.168.1.36,8.74.95.13,62550,80,HTTP,807,32,2.0,normal
1742700471.792112,121.181.194.137,192.168.1.199,13854,80,HTTP,1090,64,20.0,normal
1742700475.423025,172.16.0.131,203.0.113.73,30735,443,HTTPS,1449,32,52.0,normal
1742700481.289239,104.18.205.71,172.25.25.153,44564,21,FTP,984,128,49.0,normal
1742700482.258008,192.168.1.18,203.0.113.181,26994,8080,HTTP,1477,64,47.0,normal
1742700484.848086,198.51.100.74,10.74.44.27,61523,0,ICMP,86,128,,normal
1742700486.076227,172.17.167.215,198.51.100.234,37580,161,UDP,315,32,,normal
1742700488.028057,173.107.209.205,10.0.0.244,32567,80,HTTP,1338,32,12.0,normal
1742700491.254938,10.43.71.20,203.0.113.5,19795,443,TLS,360,64,41.0,normal
1742700491.443868,172.23.97.29,154.40.34.238,62172,80,HTTP,1432,128,14.0,normal
1742700491.706002,172.28.225.23,185.203.160.131,30381,80,HTTP,605,128,22.0,normal
1742700492.225257,172.31.131.62,203.0.113.49,10041,8443,HTTPS,1028,32,32.0,normal
1742700493.254845,203.0.113.77,10.0.0.67,35211,8080,HTTP,335,64,41.0,normal
1742700494.429077,100.218.45.187,192.168.1.213,14628,25,SMTP,666,64,3.0,normal
1742700494.53985,191.11.243.119,192.168.1.118,48279,443,HTTPS,907,64,59.0,normal
1742700495.712933,10.0.0.161,198.51.100.176,22638,8443,HTTPS,437,128,28.0,normal
1742700495.952093,10.0.0.136,198.51.100.49,49455,80,HTTP,1466,64,47.0,normal
1742700496.71952,10.0.0.178,203.0.113.116,47787,53,DNS,155,32,,normal
1742700501.744152,172.27.10.29,198.51.100.119,27541,8080,HTTP,1146,64,51.0,normal
1742700501.761339,10.178.111.216,203.0.113.43,60791,22,TCP,313,64,5.0,normal
1742700501.788891,192.168.1.89,27.158.163.61,24408,25,SMTP,204,128,24.0,normal
1742700503.704289,192.168.1.24,198.51.100.172,42087,443,HTTPS,1071,64,52.0,normal
1742700506.361618,104.24.59.140,192.168.1.20,40863,161,SNMP,153,64,,normal
1742700506.464269,172.19.224.46,104.17.33.119,15322,80,TCP,373,32,40.0,normal
1742700507.253285,189.247.129.210,10.135.50.235,54194,22,TCP,722,64,19.0,normal
1742700507.935681,10.0.0.105,104.23.140.235,51064,443,HTTPS,1017,128,6.0,normal
1742700507.98023,10.235.79.227,198.51.100.109,23641,80,TCP,235,128,57.0,normal
1742700508.08012,192.168.1.153,189.84.12.1,21252,68,DHCP,190,64,,normal
1742700508.104554,172.31.175.64,84.60.39.3,48696,3389,RDP,296,128,,normal
1742700509.352753,172.24.80.153,203.0.113.49,11010,21,TCP,453,64,47.0,normal
1742700510.144142,172.20.26.55,203.0.113.188,64435,53,DNS,296,32,,normal
1742700510.792519,10.0.251.82,186.32.246.201,18228,80,HTTP,391,32,11.0,normal
1742700511.786267,10.213.38.128,198.51.100.160,39524,53,UDP,455,32,,normal
1742700512.770247,10.218.153.111,198.51.100.84,25839,80,TCP,401,64,25.0,normal
1742700512.877229,172.17.165.55,104.20.52.188,31645,3389,RDP,603,128,,normal
1742700515.397026,203.0.113.133,10.160.11.202,47947,53,DNS,75,64,,normal
1742700515.575769,172.16.0.62,203.0.113.172,51637,25,SMTP,231,32,21.0,normal
1742700516.664862,172.29.173.182,203.0.113.72,31980,443,TCP,204,32,4.0,normal
1742700518.343107,10.34.90.217,139.135.126.143,59056,8443,HTTPS,803,128,29.0,normal
1742700519.282937,172.22.140.116,210.5.215.223,44273,162,SNMP,160,64,,normal
1742700520.316846,121.58.138.103,192.168.1.229,31893,443,HTTPS,1074,64,13.0,normal
1742700520.365762,10.46.63.219,203.0.113.105,56565,0,ICMP,153,128,,normal
1742700521.033054,172.31.241.33,104.29.230.201,26541,161,UDP,147,128,,normal
1742700521.084851,10.0.0.238,24.35.165.173,58311,161,SNMP,242,64,,normal
1742700521.933533,172.16.0.161,203.0.113.230,23189,443,TLS,727,32,58.0,normal
1742700524.605982,163.141.121.42,172.16.115.75,47273,67,DHCP,466,32,,normal
1742700525.884312,172.28.79.80,104.17.174.205,31078,53,DNS,95,64,,normal
1742700526.416729,203.0.113.127,10.188.106.89,41080,80,HTTP,303,32,31.0,normal
1742700527.310158,203.0.113.120,172.30.168.100,11203,8443,HTTPS,784,64,55.0,normal
1742700527.471171,192.168.1.190,104.20.14.40,51710,53,DNS,269,128,,normal
1742700530.107858,172.23.50.132,104.23.188.9,52487,53,DNS,259,32,,normal
1742700531.659367,192.168.1.183,221.226.22.248,51152,53,DNS,199,128,,normal
1742700531.870115,203.0.113.56,192.168.1.6,28532,22,SSH,214,128,27.0,normal
1742700532.665219,198.51.100.105,192.168.1.120,40726,22,SSH,272,32,43.0,normal
1742700534.558077,192.168.1.177,69.228.211.69,19445,443,HTTPS,656,32,9.0,normal
1742700534.841514,192.168.1.211,104.18.19.168,63297,8443,HTTPS,848,128,35.0,normal
1742700536.665846,165.105.25.18,172.24.2.49,26803,1900,UDP,645,64,,normal
1742700537.212063,181.147.164.201,10.21.180.109,19563,587,SMTP,224,32,17.0,normal
1742700538.375437,18.156.63.245,172.16.0.148,56277,53,DNS,217,32,,normal
1742700538.709748,10.182.220.91,203.0.113.152,57615,443,HTTPS,701,32,24.0,normal
1742700541.744473,192.168.1.250,104.29.127.88,11653,445,SMB,960,64,,normal
1742700542.980797,203.0.113.32,172.17.252.4,20082,20,FTP,1246,32,35.0,normal
1742700543.630086,203.0.113.117,10.203.207.133,47725,21,TCP,755,32,29.0,normal
1742700543.720059,172.25.42.84,203.0.113.41,12202,21,TCP,153,64,10.0,normal
1742700545.891816,104.26.104.81,10.0.0.194,48118,80,HTTP,432,32,6.0,normal
1742700546.892009,179.191.127.250,172.27.227.12,11168,21,TCP,714,64,30.0,normal
1742700547.344434,12.223.47.169,10.82.72.34,32911,443,HTTPS,936,32,28.0,normal
1742700548.438049,172.17.64.143,203.0.113.237,34253,587,SMTP,349,64,18.0,normal
1742700549.156014,172.28.104.24,180.202.162.73,49343,3389,RDP,132,32,,normal
1742700549.821653,78.222.123.92,10.202.183.151,54402,80,HTTP,1090,32,27.0,normal
1742700550.826825,192.168.1.126,14.210.225.76,62812,162,SNMP,120,32,,normal
1742700550.959353,10.24.132.167,104.21.65.238,42879,8443,HTTPS,926,64,63.0,normal
1742700551.088182,192.168.1.22,198.51.100.183,17079,22,SSH,508,64,54.0,normal
1742700552.217002,10.61.18.159,104.22.255.50,35882,80,HTTP,911,128,21.0,normal
1742700554.089348,172.31.208.255,203.0.113.29,34557,445,SMB,1074,32,,normal
